record_id,row_index,smiles,prop,repeat_unit_id
dr_19e7281627d34e2dde09,0,*CC(*)C,eea,ru_6e545ca8b11c4c21186b
dr_9ff40d4aead2eb34a975,1,*CC(*)F,eea,ru_53567d4d32a157f02c98
dr_36038681d057ba5ffc79,2,*CC(*)(F)F,eea,ru_7a13e3384a97296e1048
dr_37a12140a881c6669b32,3,*C(F)C(*)(F)F,eea,ru_9333ba4b064a621edb97
dr_5f9b17a219c41194b7c4,4,*CCC(F)(F)C(*)(F)F,eea,ru_a48939fc6b42b3272a08
dr_1653adf9c95cadb2f50e,5,*CO*,eea,ru_03eacfbd76ee6bf45cfe
dr_c17aa19c022572298f8d,6,*CCO*,eea,ru_945a465c5743ceb9807c
dr_c27f9fcd6347990c8a74,7,*CC(O*)C(F)(F)F,eea,ru_1783e6ec35ef7e9451bd
dr_099d3c7bbc3521cdb8b2,8,*CCCO*,eea,ru_b0031a8cbf43d41aea77
dr_9f56d2037808a0b1aa50,9,*Oc1ccc(Cc2ccc(*)cc2)cc1,eea,ru_322816b2371758df1695
dr_79789e8cc714610018b3,10,*CCCCCOCO*,eea,ru_fd7b3a6a9f30457e0028
dr_603fcd4f354c6ed89de2,11,*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,ru_114bc81f8c948232ac9b
dr_92c43843f06d5627efad,12,*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,eea,ru_bcc991435eddfd9dc301
dr_800b88e15670e27b494b,13,*CCCCCS*,eea,ru_4b85d438d40e3e00b727
dr_a5d5f4146fe146836e92,14,*Sc1ccc(*)cc1,eea,ru_a1e899d361bba98af4e1
dr_33a4e476a115687d6f35,15,*CCOC(=O)CCCCC(=O)O*,eea,ru_d765cae8e31dfc5333d4
dr_2e0fc9526eebe70bde93,16,*CCOC(=O)CCCCCCC(=O)O*,eea,ru_2265598ea6140ef255b4
dr_6d30dc09e056a09370ee,17,*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,ru_b86eb5d33f732d35a815
dr_51d6e77f614fe6af42cc,18,*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,ru_da94fd5d4d6d25c72f2a
dr_0d11bfb76ba6237b462d,19,*CC(=O)O*,eea,ru_f77e2de49d623839a44e
dr_004f574eebd051f6a6b2,20,*CCCCCC(=O)O*,eea,ru_2b2ccab0fc31dc6b949b
dr_388497c193b2316a8499,21,*CCC(=O)O*,eea,ru_9f76b4c713bb0b69c80f
dr_8520f87118a42eb07509,22,*Oc1ccc(CC(*)=O)cc1,eea,ru_55f2a676722f452ec276
dr_e7d7445f53e158084808,23,*Cc1ccc(C(=O)O*)cc1,eea,ru_35fd1c9a3a5b12fadda1
dr_5da8ad5f17272c35338b,24,*CCC(=O)N*,eea,ru_edf3ca5bcb9e24d9eae7
dr_9fd0dc5f16ffd2b7ec7a,25,*CCCCCCC(=O)N*,eea,ru_7139a6d3592016de1ba8
dr_cb592e73d1899be52a17,26,*CC(=O)N*,eea,ru_a3e3c5aa140f14b44e23
dr_2dc751c20f1867232059,27,*Nc1cccc(C(*)=O)c1,eea,ru_d8ed7c00192f6f5703dd
dr_2ef74adf80940d094750,28,*Cc1ccc(C(=O)N*)cc1,eea,ru_9fb43eab56a9e4e99e16
dr_3d1f80f593df9105662e,29,*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,ru_48af27e04ada15dc8ec6
dr_50556600dac7df1b77f2,30,*OC(=O)c1ccc(C(*)=O)cc1,eea,ru_16a107997e062757591e
dr_9b5a9b9d57d00b2cb41f,31,*Oc1ccc(OC(*)=O)cc1,eea,ru_0ffaf2d5a49724621e5e
dr_ac853e88e8f70f0a1086,32,*CCCN*,eea,ru_80dcd6fa535075fcc501
dr_1e99394e93a7e7bb2ac4,33,*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,eea,ru_dbb7475638236f4c5051
dr_baf79bbff9c6f053af9d,34,*c1ccc(*)cc1,eea,ru_8892789e3c4f3ef0e7a6
dr_88acae94775b1180434a,35,*CCc1ccc(-c2ccc(*)cc2)cc1,eea,ru_8191f88ee23d5ba1370b
dr_dd644b1a3bed7e42502d,36,*OC1C(CO)OC(*)C(O)C1O,eea,ru_239faf849b1940f97f9c
dr_16e653b1f121dd91022a,37,*Cc1ccc(CO*)cc1,eea,ru_d5a7a1c91d9534a966d5
dr_599d92944abd1806d40b,38,*CCOCCOC(=O)O*,eea,ru_b3e056602ddc3accfcb2
dr_c981ff275c9cd1e53fdf,39,*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,ru_cdce5750cad5257aaeaf
dr_200c9ebe3e067be96be4,40,*c1ccc(*)s1,eea,ru_d96dba90cd8330ab6ef7
dr_d2a1b9247db82d3dc236,41,*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,eea,ru_69697cdf21c8d1c1d1b6
dr_e3f07e47834bf624cdfe,42,*Nc1ccc(*)cc1,eea,ru_c4d597c69f843b59f0bb
dr_5e4de29dcf4186b5536a,43,*c1cccc(*)n1,eea,ru_a64ce799bb9bcf2b08a7
dr_e290a81ee07428d87421,44,*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,eea,ru_fc9d55f75d446ef1b5da
dr_ee1cc3163d32602a3aab,45,*c1ccc(-c2ccc(*)s2)s1,eea,ru_1332b32830ee723a6033
dr_f4e54532701db6cdeb27,46,*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,eea,ru_c372e2a053413d2f2b4d
dr_63eba9a0cc264ab0670b,47,*Cc1ccc(C*)cc1,eea,ru_5c3c8440e931e1127601
dr_1a3a66d1d16e8ef24831,48,*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,eea,ru_fe66e5e7eefc08220ed5
dr_902a17a50ebe7fc6f28c,49,*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,eea,ru_7821a105177d50653101
dr_38e90d273803626cbc78,368,*CC(*)C,egb,ru_6e545ca8b11c4c21186b
dr_2ab9eca67e45c9a148f7,413,*CC(*)F,egb,ru_53567d4d32a157f02c98
